%	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29
0.017794207	0.003803309	0.000826611	0.011664829	0.009214263	0.008313562	0.004651031	0.008538969	0.006372533	0.000223518	0.000123979	0.007058026	0.010011826	0.002514723	-0.000830956	0.000517236	0.004184332	0.008204679	0.00868161	0.010781729	-0.000385549	0.01145327	0.002144479	0.001095343	-0.021410026	0.00261555	0.012388416	-0.001497276	0.010037676
-0.001570003	0.000720615	-0.001447638	-0.007741638	0.005055039	-0.00238763	-0.003126855	0.001078073	-0.002897594	-0.002599776	0.004685799	4.66455e-005	-0.00013196	-0.00192665	0.010796337	-0.001812965	0.005174321	-0.001331104	-0.002085987	0.001540615	-0.000385951	-0.000238041	-0.002188319	-0.003294276	0.004459063	-0.001099359	0.007125573	0.010048612	-0.002934466
0.009720378	0.001258391	0.003610093	-0.004764773	0.00857979	-0.005572128	-0.005550731	0.007119803	0.004270632	0.009031901	0.005968545	-0.001308673	0.014155271	0.00016787	0.006328419	-0.002777285	0.00136947	-0.007551335	0.000545155	-0.000461629	0.001477541	0.003674959	-0.003878467	0	0.004035036	0.001419478	0.000891816	0.001138376	-0.003166176
0.014556702	-0.001258391	0.005917208	-0.00338261	0.01305493	0.000454476	0.001634288	0.006309294	0.007744559	0.000528082	-0.003644494	0.001215341	0.003182586	0.002009476	0.007362026	0.002084621	0.001535534	-0.002931589	0.002264079	-0.000770421	0.004339126	-0.004032247	0.004536092	0.00274698	0.000908393	-0.000503165	0.006601772	-0.001790237	-0.001060533
-0.006745113	-0.003252375	-0.002234987	-0.007492643	0.002302202	-0.004719249	-0.010390586	-0.001568641	-0.00610261	-0.005532488	0.001096548	-0.008627257	-0.003438211	-0.004956697	0.0010096	-0.004616951	-0.006002218	-0.001473249	-0.008667034	-0.007780465	-0.003378222	-0.004671798	0.00222862	0.007169599	-0.003950229	-0.006315955	-0.012823153	-0.007069852	-0.006526048
0.013569984	-0.001726523	-0.002348913	0.010664609	0.008928074	-0.00214825	0.000981729	0.000174541	0.003942606	0.001245412	-0.006003859	0.001615916	0.002295175	0.008285267	0.000336044	0.003662715	-0.000691249	0.00403947	-0.011484748	-0.001415411	0.006226079	-0.005453755	0.002650673	0.012425933	-0.001605526	-0.002655105	0.008236089	0.000910699	0.006101092
0.007079543	0.001545078	-0.001744338	0.000263306	-0.002255254	0	-0.004930744	-0.00350523	-0.006545227	-0.000488848	-0.00148306	-0.008865937	-0.007180734	-0.001162098	0.001229831	-0.002613084	-0.008206029	-0.001516961	-0.002181695	-0.002210967	0.001574111	-0.00577025	-0.002389241	0.002921722	-0.001457765	0.002097499	-0.001777138	0.002062768	-0.001917424
0.001438086	0.007911228	0.008854096	0.006271491	0.008159764	0.004590377	0.006789826	0.003854123	0.005325482	0.007537801	0.004801596	0.002943405	-0.002593588	-0.002082955	0.003557974	0.000785587	0.007513628	0.004275712	0.005856188	0.004253987	0.000502525	0.000123616	0.001435117	0.002075003	0.011152917	0.011245233	0.003311661	0.003116776	0
-0.024929147	0.008206895	-0.000705761	0.000260496	-0.003820794	-0.005976977	-9.76382e-005	-0.001397465	0	0.007623965	-0.000490052	0.017484401	-0.00431354	-0.001338351	-0.003334785	-0.00061087	0.00138365	0.003102152	-0.00339074	-0.00251585	-0.000816891	-0.004096591	-0.002263528	-0.000310601	0.002390344	-0.002043723	0.000235469	0.002851062	-0.004291505
-0.002477773	0.002005958	0.00967909	0.003940632	0.030410716	0.001489161	-0.000879813	0.000524529	0.017945832	-0.002843307	-0.006048259	0.005963796	-0.002239014	-0.01180381	0.003888088	0.001307982	0.00275417	0.006036935	0.0024515	0.004237033	0.001945376	0.002239276	-0.002231539	0.006170504	0.00267351	0.009456232	0.000823652	-8.12165e-005	0.002365578
0.000190966	0.0028621	-0.008268713	-0.010394936	-0.004044146	0.006663961	-0.002158263	-0.006692375	0.000130249	-0.000345921	0.000869192	0.008035193	-0.003713053	0.008946052	-0.001995238	0.000435136	-0.002408921	-0.026554446	-0.001978991	0.004505341	0.003119513	-0.00587148	-0.001450073	-0.006999927	-0.000666848	-0.012196267	0.002811609	-0.004325421	0.004055881
