Component_name	Value
x1	0.000000000000e+000
x2	7.488250047026e-002
x3	0.000000000000e+000
x4	0.000000000000e+000
x5	2.000000000000e-001
x6	0.000000000000e+000
x7	0.000000000000e+000
x8	0.000000000000e+000
x9	2.000000000000e-001
x10	0.000000000000e+000
x11	0.000000000000e+000
x12	0.000000000000e+000
x13	0.000000000000e+000
x14	0.000000000000e+000
x15	0.000000000000e+000
x16	2.000000000000e-001
x17	0.000000000000e+000
x18	1.251174995297e-001
x19	0.000000000000e+000
x20	0.000000000000e+000
x21	0.000000000000e+000
x22	2.000000000000e-001
x23	0.000000000000e+000
x24	0.000000000000e+000
x25	0.000000000000e+000
x26	0.000000000000e+000
