%	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26
0.000393166	-0.010722071	-0.004120885	0.001787531	0.008828241	0.008190714	0.005080751	0.010056654	0.012732988	0.00346673	-0.016692345	0.003002377	-0.005473911	0.011304878	0.001588752	-0.001705004	-0.018625675	0.022520936	-0.011470914	0.008198613	0.016350401	0.009160599	-0.005415333	0.03077871	0	0.00990985
0.000768791	-0.000428128	-0.00707937	0.005833427	0.004577677	-0.008088281	-0.040561291	0	-0.006184111	-0.007501231	0.015999856	0.001199624	0.002436549	0.013838235	0.012443522	0.015385536	-0.028305173	-0.00625216	0.000879551	-0.011914574	-0.002267761	-0.005621572	-0.012159811	0.007210067	0.007624462	-0.001246365
-0.019817314	-0.016360376	-0.010976676	-0.001777125	-0.010899441	-0.00101504	-0.013956509	-0.013212496	-0.021109399	-0.001112347	-0.009107063	-0.027940666	0.024143422	-0.011849581	-0.009095491	0.004569877	-0.010025281	-0.051500527	0.040771197	0.065967628	-0.008990013	-0.012708189	-0.017167804	-0.004136003	0.004795558	0.008589073
-0.034125627	0.001625263	0.006983269	0	0.026947821	0.008096462	-0.004804898	0.008827699	0.005983524	-0.005936542	0.015651471	0.005682042	0.02589173	0.031858252	-0.011667086	0.029941694	-0.032258857	0.014522307	0.042504907	-0.009909529	0.007145723	0.01803074	-0.005063302	0.019101789	0.041859885	0.004933713
0.008489305	-0.008596856	-0.004358825	-0.006707924	-0.006137821	0.002012706	-0.009113178	0.001878063	-0.022450098	-0.016419045	0.002480464	-0.015584715	-0.004059153	-0.018739122	-0.006421764	0.012896358	0.01811994	0.008796879	0.013746534	0.000686577	-0.01040468	-0.004420973	0	-0.022034354	-0.000295742	-0.005552143
0.000607457	-0.003831168	-0.015318549	-0.000926641	0.004511981	-0.004432341	-0.000849778	-0.014514229	0.026416818	-0.001915957	0.010067648	-0.018206956	-0.006412147	0.007125648	-0.014241551	-0.000146524	0.028987537	-0.000447433	-0.069087861	-0.004212705	0.009481258	0.008450228	-0.010937039	-0.008706912	-0.00593794	-0.013494081
0.009616399	0.005035845	0.007424464	0.006959656	-0.000813913	0.000300955	0.018947492	-0.012156175	0.016366592	0.017520421	-0.012997045	-0.009065378	0.007573587	0.004570392	0.005972036	-0.001602308	0.001503137	0.045965264	-0.008682018	0.003526127	-0.008549043	0.000297818	0.000916003	-0.037398554	0.002973378	0.019661229
0.003567018	0.001634655	0.043256507	0.014562329	0.005305627	-0.010970352	0.016682756	0.001284688	0.038223388	0.013758437	0.005195282	0.018992941	0.015644064	0.013362219	-0.007607546	0.021785441	0.007773408	0.020066371	0.007826708	0.018289821	-0.010941504	-0.027165332	-0.000549501	0.007249806	0.014004622	0.03523618
-0.009564197	-0.009749522	0.02941633	-0.009481048	0.008120289	-0.009852394	-0.000820719	0.038459236	-0.005956979	-0.008627485	-0.0011323	0.021076052	-0.003434135	-0.005074722	-0.020755455	0.01106891	0.00713024	-0.00605982	-0.013881799	0.017215869	-0.00705643	0.005948767	0.023896865	-0.004179081	-0.00219645	0.006998895
-0.000605262	0.014643238	0.026663937	0.000427363	0.00486203	0.015250128	0.01345647	0.003705027	0.032173992	0.049043489	0.038514095	0.000155945	-0.00873368	-0.010912919	0.036987144	-0.015646414	0.005604614	-0.002176328	0.01131147	0.005453658	0.021253859	0.003340169	0.016323996	0.000223539	0.001025611	0.010455951
0.011754636	0.010679216	0.004296291	0.006206665	0.019110543	0.005674533	-0.008496842	0.008589404	-0.009482289	0.003611938	0.024540066	-0.008545473	0.037090344	0.019244425	0.008730698	-0.010810451	-0.000589724	0.001288603	0.014572552	0.005424076	0.013311564	-0.034463573	0.014328395	0.012040858	-0.002935406	0.019446127
0	-0.004841607	-0.018428532	-0.01061115	0.002767554	0.006544491	-0.011044793	-0.025993581	-0.019864466	-0.019171157	0.014037171	-0.013501993	-0.006149279	0.006927402	-0.013211535	-0.007273048	0.014030352	-0.003469677	-0.013715041	0.01472589	0.018516946	-0.015494381	-0.006265248	-0.006373316	-0.006785932	-0.014887659
0.035816262	0.023654738	0.008374989	0.005075687	-0.013069337	-0.004125829	-0.00110203	0.019247558	0.011839716	0.002104903	-0.010655816	0.00520319	0.03814177	0.003112843	0.01798838	-0.003802994	0.002031486	0.003469677	0.009478744	-0.004614085	0.002438947	-0.00151485	0.002615292	-0.004546611	-0.0056396	0.014315468
-0.010566213	-0.000633668	0.015753369	-0.006425381	-0.019741344	-0.000203349	-0.0117382	-0.015491522	0.018721408	0.010361779	-0.006549508	-0.000787001	-0.029673058	0.008730784	-0.004601422	0.023175147	-0.001738363	0	-0.028710106	0.017851873	0.005593481	0.053819424	-0.02182801	0.004915637	0.010364919	-0.005739995
0.008271289	0.010899637	0.013018771	-0.003135859	-0.003292406	-0.040833091	-0.005640646	0.022847126	-0.032757929	0.001064139	-0.002952883	0.010801982	0.015995928	0.01842516	-0.010335166	0.002146438	-0.003779965	0	0.004456076	-0.014530822	-0.00022314	-0.008046806	0.007623475	-0.014220228	-0.001631744	-0.001055916
-0.006728053	-0.002086666	-0.032950866	-0.006239402	-0.01519844	0.016453474	0.000280452	-0.015384365	0.009692783	0.003089253	0.00779917	-0.003586682	-0.018872827	0.001295477	-0.004308634	0.000141986	0.012155736	0	0.009619158	-0.016141216	-0.007359562	-0.00144922	-0.01458841	0.018890711	-0.009100364	0.00230238
-0.018887413	-0.004817582	0.00562115	0.008945431	0.00580156	0.002269856	0.006753793	-0.001859063	-0.012210822	0	0.006295812	0.002027763	0.019419873	0.007844863	-0.015776991	-0.029575343	0.015708711	0.006087254	0.025705441	-0.004117604	0.009334211	0.019501752	0.006786952	-0.002518559	0.007285981	-0.006537228
